,Site,Full Date,Year,Month,Battery High Tide,Sample Time,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Day of Collection Precipitation (Thursday),Previous Day Precipitation (Wednesday),Previous Tuesday Precipitation,Previous Monday Precipitation,Previous Sunday Precipitation,Previous Saturday Precipitation,Previous Friday Precipitation
5747,"Hudson River, Pier 66",2011-10-20,2011,10,02:33:00,14:43:00,31,0.01,1.12,0.01,0,0,0.0,0
5748,"Hudson River, Pier 66",2011-10-27,2011,10,08:51:00,11:17:00,31,0.63,0,0,0,0,0.0,0
5749,"Hudson River, Pier 66",2011-11-09,2011,11,06:57:00,13:40:00,979,0,0,0,0,0,0.0,0
5750,"Hudson River, Pier 66",2011-11-17,2011,11,00:15:00,10:14:00,446,0.07,0.73,0,0,0,0.0,0
5751,"Hudson River, Pier 66",2011-11-21,2011,11,04:01:00,10:47:00,10,0.12,0,0,0,0.07,0.73,0
5752,"Hudson River, Pier 66",2011-12-01,2011,12,00:48:00,13:05:00,504,0,0,0.47,0,0,0.0,0
5753,"Hudson River, Pier 66",2012-05-17,2012,5,06:39:00,09:07:00,63,0,0.09,0.54,0,0,0.0,0
5754,"Hudson River, Pier 66",2012-05-24,2012,5,11:33:00,08:45:00,10,0.95,0.03,0.23,1.4,0,0.0,0
5755,"Hudson River, Pier 66",2012-05-31,2012,5,04:31:00,09:08:00,41,0,0.01,0.21,0,0.06,0.02,0
5756,"Hudson River, Pier 66",2012-06-07,2012,6,11:33:00,11:29:00,<10,0.01,0.01,0.01,0.18,0.01,0.39,0.25
5757,"Hudson River, Pier 66",2012-06-14,2012,6,05:09:00,11:45:00,10,0,0.34,1.02,0,0,0.0,0
5758,"Hudson River, Pier 66",2012-06-21,2012,6,10:24:00,11:49:00,<10,0,0,0,0,0,0.0,0
5759,"Hudson River, Pier 66",2012-06-28,2012,6,03:03:00,10:33:00,<10,0,0,0,0.15,0.06,0.0,0.35
5760,"Hudson River, Pier 66",2012-07-05,2012,7,10:15:00,08:50:00,<10,0,0.06,0,0,0,0.0,0.21
5761,"Hudson River, Pier 66",2012-07-12,2012,7,03:34:00,09:05:00,<10,0,0,0,0,0.09,0.5,0
5762,"Hudson River, Pier 66",2012-07-19,2012,7,09:15:00,09:06:00,145,0.02,1.76,0,0,0.26,0.0,0
5763,"Hudson River, Pier 66",2012-07-26,2012,7,01:49:00,09:50:00,<10,0.6,0,0,0.15,0,0.0,0.58
5764,"Hudson River, Pier 66",2012-08-02,2012,8,09:04:00,09:15:00,20,0,0.64,0,0,0.01,0.18,0
5765,"Hudson River, Pier 66",2012-08-09,2012,8,02:08:00,10:36:00,<10,0,0,0,0.01,0.22,0.0,0
5766,"Hudson River, Pier 66",2012-08-16,2012,8,08:06:00,10:32:00,<10,0,0.57,0.01,0,0,0.0,0.24
5767,"Hudson River, Pier 66",2012-08-23,2012,8,00:42:00,11:30:00,<10,0,0,0,0,0,0.32,0.15
5768,"Hudson River, Pier 66",2012-08-30,2012,8,07:59:00,07:55:00,20,0,0,0.14,0.61,0,0.0,0
5769,"Hudson River, Pier 66",2012-09-06,2012,9,00:46:00,09:54:00,31,0,0.07,0.13,0,0,0.0,0
5770,"Hudson River, Pier 66",2012-09-13,2012,9,06:51:00,09:11:00,41,0,0,0,0,0,0.39,0
5771,"Hudson River, Pier 66",2012-09-20,2012,9,12:04:00,10:52:00,98,0,0,1.54,0,0,0.01,0
5772,"Hudson River, Pier 66",2012-09-27,2012,9,06:53:00,11:29:00,31,0.06,0.01,0,0,0,0.22,0
5773,"Hudson River, Pier 66",2013-05-23,2013,5,07:07:00,10:27:00,<10,1.81,0,0,0,0,0.01,0
5774,"Hudson River, Pier 66",2013-05-30,2013,5,01:05:00,13:23:00,31,0,0,0.52,0,0,0.14,0.3
5775,"Hudson River, Pier 66",2013-06-06,2013,6,07:34:00,09:00:00,20,0.13,0,0,0.87,0.85,0.0,0
5776,"Hudson River, Pier 66",2013-06-13,2013,6,12:36:00,12:00:00,62,1.36,0,0.09,1.38,0,0.48,4.16
5777,"Hudson River, Pier 66",2013-06-20,2013,6,05:38:00,11:35:00,2254,0,0.01,0.19,0.01,0,0.0,0.38
5778,"Hudson River, Pier 66",2013-06-27,2013,6,12:30:00,11:03:00,10,0.24,0.05,0,0,0,0.0,0
5779,"Hudson River, Pier 66",2013-07-02,2013,7,04:25:00,12:27:00,241,,,0.08,0.84,0,0.0,0
5780,"Hudson River, Pier 66",2013-07-11,2013,7,11:18:00,11:15:00,<10,0,0,0.23,0.22,0,0.0,0
5781,"Hudson River, Pier 66",2013-07-18,2013,7,04:03:00,09:06:00,52,0,0,0,0,0,0.06,0.25
