Site,Status,Most Probable Number (MPN) of Enterococcus colonies per 100 ml,Year
"Bronx Kill, east end",Acceptable,20,2014
"Bronx Kill, east end",High,1396,2014
"Bronx Kill, east end",High,275,2014
"Bronx Kill, east end",High,132,2014
"Bronx Kill, east end",High,15531,2014
"Bronx Kill, east end",High,213,2014
"Bronx Kill, east end",High,211,2014
"Bronx Kill, east end",High,216,2014
"Bronx Kill, east end",High,109,2014
"Bronx Kill, east end",Acceptable,10,2014
"Bronx Kill, east end",High,246,2014
"Bronx Kill, east end",Unacceptable if levels persist,52,2014
"Bronx Kill, east end",High,839,2014
"Bronx Kill, east end",High,246,2014
"Bronx Kill, east end",High,185,2014
"Bronx Kill, east end",Unacceptable if levels persist,52,2015
"Bronx Kill, east end",Acceptable,30,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Unacceptable if levels persist,63,2015
"Bronx Kill, east end",High,2489,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Acceptable,10,2015
"Bronx Kill, east end",Acceptable,20,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Unacceptable if levels persist,41,2015
"Bronx Kill, east end",Acceptable,31,2015
"Bronx Kill, east end",Unacceptable if levels persist,86,2015
"Bronx Kill, east end",Acceptable,30,2016
"Bronx Kill, east end",Unacceptable if levels persist,52,2016
"Bronx Kill, east end",High,146,2016
"Bronx Kill, east end",Unacceptable if levels persist,63,2016
"Bronx Kill, east end",High,153,2016
"Bronx Kill, east end",Acceptable,31,2016
"Bronx Kill, east end",High,169,2016
"Bronx Kill, east end",Acceptable,30,2016
"Bronx Kill, east end",High,155,2016
"Bronx Kill, east end",High,183,2016
"Bronx Kill, east end",Acceptable,10,2016
"Bronx Kill, east end",High,663,2016
"Bronx Kill, east end",Unacceptable if levels persist,72,2016
"Bronx Kill, east end",Unacceptable if levels persist,41,2016
"Bronx Kill, east end",Unacceptable if levels persist,95,2016
"Bronx Kill, east end",Unacceptable if levels persist,41,2016
"Bronx Kill, east end",High,238,2016
"Bronx Kill, east end",Acceptable,20,2016
"Bronx Kill, east end",High,121,2016
"Bronx Kill, east end",High,246,2017
"Bronx Kill, east end",Unacceptable if levels persist,52,2017
"Bronx Kill, east end",High,291,2017
"Bronx Kill, east end",Unacceptable if levels persist,86,2017
"Bronx Kill, east end",High,1127,2017
"Bronx Kill, east end",High,106,2017
"Bronx Kill, east end",High,119,2017
"Bronx Kill, east end",High,933,2017
"Bronx Kill, east end",High,723,2017
"Bronx Kill, east end",High,1842,2017
"Bronx Kill, east end",High,226,2017
"Bronx Kill, east end",High,6893,2017
"Bronx Kill, east end",High,272,2017
"Bronx Kill, east end",High,1222,2017
"Bronx Kill, east end",High,399,2017
"Bronx Kill, east end",Unacceptable if levels persist,41,2017
"Bronx Kill, east end",Acceptable,31,2018
"Bronx Kill, east end",Acceptable,30,2018
"Bronx Kill, east end",High,160,2018
"Bronx Kill, east end",High,1467,2018
"Bronx Kill, east end",High,8664,2018
"Bronx Kill, east end",Unacceptable if levels persist,63,2018
"Bronx Kill, east end",Acceptable,31,2018
"Bronx Kill, east end",High,957,2018
"Bronx Kill, east end",High,3255,2018
"Bronx Kill, east end",High,1658,2018
"Bronx Kill, east end",High,2489,2018
"Bronx Kill, east end",Unacceptable if levels persist,70,2018
"Bronx Kill, east end",High,107,2018
"Bronx Kill, east end",High,195,2018
"Bronx Kill, east end",High,1162,2018
"Bronx Kill, east end",High,3441,2018
"Bronx Kill, east end",High,985,2018
